Name,Stage,Category,Attribute,Type,Author,Description,Alternative,Evolve To,Hide,Gallery
Juramon,Rookie,Alt Version,Free,Slime,Aderek,A small slime creature ready to evolve.,,"Koromon, Chibimon",,
Stymphmon,Rookie,Alt Version,Free,Slime,Aderek,A small slime creature ready to evolve.,,,,
Sulamon,Rookie,Alt Version,Free,Slime,Aderek,A small slime creature ready to evolve.,,,,
Liacampmon,Rookie,Alt Version,Free,Slime,Aderek,A small slime creature ready to evolve.,,,,
Urchervalmon,Rookie,Alt Version,Free,Slime,Aderek,A small slime creature ready to evolve.,,,,
Mukademon,Champion,,,,,,,,,
Zweidramon,Champion,,,,,,,,,
Hippocampmon,Champion,,,,,,,,,
Karcharimon,Champion,,,,,,,,,
Wapitimon,Champion,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Earnadramon,Perfect,,,,,,,,,
MasterGreymon,Perfect,,,,,,,,,
,,,,,,,,,,
SkullTyrannomon,Perfect,,,,,,,,,
,,,,,,,,,,
Leucrottamon,,,,,,,,,,
Deucaldramon 1,,,,,,,,,,
Kleidoremon 1,,,,,,,,,,
Veneeliagemon,,,,,,,,,,
Tankdramon,,,,,,,,,,
Hunaxpumon,,,,,,,,,,
JetBoreamon,,,,,,,,,,
Pangeamon,,,,,,,,,,
Katarmon,,,,,,,,,,
Glowmon 1,,,,,,,,,,
Gashamon,,,,,,,,,,
Deucaldramon 2,,,,,,,,,,
Wuldormon 1,,,,,,,,,,
Hazemon,,,,,,,,,,
Ocelomon,,,,,,,,,,
Liamon,,,,,,,,,,
Armadramon,,,,,,,,,,
Molochmon,,,,,,,,,,
Lykiamon,Rookie,,,,,,,,,
Othrysmon,,,,,,,,,,
NeoChimairamon,,,,,,,,,,
Chasmmon,,,,,,,,,,
Stukamon,Champion,,,,,,,,,
Taraxmon,Champion,,,,,,,,,
Dimetromon,Champion,,,,,,,,,
Irritamon,Champion,,,,,,,,,
Huntermon,Champion,,,,,,,,,
Blockmon,Champion,,,,,,,,,
Gulpmon,Champion,,,,,,,,,
Thulemon 1,,,,,,,,,,
Glowmon 2,,,,,,,,,,
Grimmon,,,,,,,,,,
Tsubatamon,Champion,,,,,,,,,
Wuldormon 2,,,,,,,,,,
Ornismon,,,,,,,,,,
Blikmon,,,,,,,,,,
Nepenthemon,,,,,,,,,,
Bivermon,,,,,,,,,,
Black Reapermon,,,,,,,,,,
MarshalKnightmon,,,,,,,,,,
Fumumon,,,,,,,,,,
Ludobanmon,,,,,,,,,,
Ultradramon,,,,,,,,,,
Chimairamon,,,,,,,,,,
ChaosGrimmon,,,,,,,,,,
Boreamon,,,,,,,,,,
